线路,临时车辆编号,车牌号,方向,始发站,发车时间,终点站,班次类型,班次类型判定依据,到达时间,全程时间,车速（km/h）,当日平均车速（km/h）,到达时间说明,到达误差估计（分钟）,本车首次观测,本车末次观测,数据源,区间站,区间站到达时间,区间站折返发车时间,区间时间说明,计划发车时间,发车时间依据,到达置信度,到达估算方法,参与车速排名,当日实际运营次数,当日计入排名班次,当日平均全程时间（分钟）,当日车速排名
浦东35路,,沪A66883D,1,康恩路康浦路,06:31,东高路张杨北路,全程车,未形成反向≥2站物理推进证据或可靠时空矛盾,09:04,154分钟,,,07:19采样：该车到重点站沪南路高科西路 ETA 14分钟；叠加该车自身同类时段从该站到终点历史中位数91分钟，约±10分钟,10,06:01,07:19,SHMAAS,,,,,06:31,计划发车,B,同车重点站剩余时间,是,1,1,154.0,7/18
浦东35路,,沪A11062A,0,东高路张杨北路,06:36,康恩路康浦路,全程车,未形成反向≥2站物理推进证据或可靠时空矛盾,待确认,待确认,,,尚无满足±5分钟标准的终点ETA,,06:01,07:19,SHMAAS,,,,,06:36,计划发车,D,证据不足,否,1,0,,—/18
浦东35路,,沪A68895D,0,东高路张杨北路,06:41,康恩路康浦路,全程车,未形成反向≥2站物理推进证据或可靠时空矛盾,待确认,待确认,,,尚无满足±5分钟标准的终点ETA,,06:11,07:19,SHMAAS,,,,,06:41,计划发车,D,证据不足,否,1,0,,—/18
浦东35路,,沪A71572D,1,康恩路康浦路,06:42,东高路张杨北路,全程车,未形成反向≥2站物理推进证据或可靠时空矛盾,09:11,150分钟,,,07:19采样：该车到重点站沪南路华夏西路 ETA 11分钟；叠加该车自身同类时段从该站到终点历史中位数101分钟，约±8分钟,8,06:01,07:19,SHMAAS,,,,,06:42,计划发车,B,同车重点站剩余时间,是,1,1,150.0,5/18
浦东35路,,沪A02316D,0,东高路张杨北路,06:54,康恩路康浦路,全程车,未形成反向≥2站物理推进证据或可靠时空矛盾,09:24,151分钟,,,07:11采样：该车到重点站莱阳路东陆路 ETA 1分钟；叠加该车自身同类时段从该站到终点历史中位数133分钟，约±11分钟,11,06:31,07:19,SHMAAS,,,,,06:54,计划发车,C,同车重点站剩余时间,是,1,1,151.0,6/18
浦东35路,,沪A36993D,1,康恩路康浦路,06:54,东高路张杨北路,全程车,未形成反向≥2站物理推进证据或可靠时空矛盾,09:33,160分钟,,,07:19采样：该车到重点站康沈路秀康路 ETA 10分钟；叠加该车自身同类时段从该站到终点历史中位数124分钟，约±10分钟,10,06:21,07:19,SHMAAS,,,,,06:54,计划发车,B,同车重点站剩余时间,是,1,1,160.0,9/18
浦东35路,,沪A09172D,0,东高路张杨北路,07:06,康恩路康浦路,全程车,未形成反向≥2站物理推进证据或可靠时空矛盾,09:41,156分钟,,,07:19采样：该车到重点站莱阳路东陆路 ETA 5分钟；叠加该车自身同类时段从该站到终点历史中位数137分钟，约±10分钟,10,06:41,07:19,SHMAAS,,,,,07:06,计划发车,B,同车重点站剩余时间,是,1,1,156.0,8/18
浦东35路,,沪A57051D,1,康恩路康浦路,07:06,东高路张杨北路,全程车,未形成反向≥2站物理推进证据或可靠时空矛盾,09:59,174分钟,,,07:19采样：该车到重点站川周公路康沈路 ETA 7分钟；叠加该车自身同类时段从该站到终点历史中位数153分钟，约±12分钟,12,06:41,07:19,SHMAAS,,,,,07:06,计划发车,C,同车重点站剩余时间,是,1,1,174.0,14/18
浦东35路,,沪A55102D,1,康恩路康浦路,07:12,东高路张杨北路,全程车,未形成反向≥2站物理推进证据或可靠时空矛盾,待确认,待确认,,,尚无满足±5分钟标准的终点ETA,,07:11,07:19,SHMAAS,,,,,07:12,计划发车,D,证据不足,否,1,0,,—/18
浦东35路,,沪A05218D,0,东高路张杨北路,07:18,康恩路康浦路,全程车,未形成反向≥2站物理推进证据或可靠时空矛盾,09:46,149分钟,,,07:19采样：该车到重点站浦东大道东波路 ETA 11分钟；叠加该车自身同类时段从该站到终点历史中位数136分钟，约±13分钟,13,06:51,07:19,SHMAAS,,,,,07:18,计划发车,C,同车重点站剩余时间,是,1,1,149.0,4/18
浦东35路,,沪A62880D,1,康恩路康浦路,07:18,东高路张杨北路,全程车,未形成反向≥2站物理推进证据或可靠时空矛盾,10:09,172分钟,,,07:19采样：该车到重点站康丽路康恩路 ETA 4分钟；叠加该车自身同类时段从该站到终点历史中位数166分钟，约±9分钟,9,06:51,07:19,SHMAAS,,,,,07:18,计划发车,B,同车重点站剩余时间,是,1,1,172.0,13/18
浦东35路,,沪A15790A,1,康恩路康浦路,07:24,东高路张杨北路,全程车,未形成反向≥2站物理推进证据或可靠时空矛盾,待确认,待确认,,,尚无满足±5分钟标准的终点ETA,,07:11,07:19,SHMAAS,,,,,07:24,计划发车,D,证据不足,否,1,0,,—/18
浦东35路,,沪A67672D,0,东高路张杨北路,07:30,康恩路康浦路,全程车,未形成反向≥2站物理推进证据或可靠时空矛盾,10:12,162分钟,,,按该车自身同方向、同类时段历史全程时间中位数162分钟估算，约±10分钟,10,07:01,07:19,SHMAAS,,,,,07:30,计划发车,B,同车历史全程时间,是,1,1,162.0,12/18
浦东35路,,沪A70597D,1,康恩路康浦路,07:30,东高路张杨北路,全程车,未形成反向≥2站物理推进证据或可靠时空矛盾,10:10,160分钟,,,按该车自身同方向、同类时段历史全程时间中位数160分钟估算，约±5分钟,5,07:01,07:19,SHMAAS,,,,,07:30,计划发车,B,同车历史全程时间,是,1,1,160.0,9/18
浦东35路,,沪A51682D,0,东高路张杨北路,07:42,康恩路康浦路,全程车,未形成反向≥2站物理推进证据或可靠时空矛盾,10:21,160分钟,,,按该车自身同方向、同类时段历史全程时间中位数160分钟估算，约±8分钟,8,06:21,07:19,SHMAAS,,,,,07:42,计划发车,B,同车历史全程时间,是,1,1,160.0,9/18
浦东78路,,沪A52736D,0,港城路地铁站,06:10,锦带路迎春路（浦东新区办公中心）,全程车,未形成反向≥2站物理推进证据或可靠时空矛盾,07:53,103分钟,,,SHMAAS末次终点ETA推算：07:19采样，终点ETA 34分钟,,06:00,07:19,SHMAAS,,,,,06:10,计划发车,C,末次终点ETA兜底,是,2,2,95.0,11/15
浦东78路,,沪A35616D,0,港城路地铁站,06:25,锦带路迎春路（浦东新区办公中心）,全程车,未形成反向≥2站物理推进证据或可靠时空矛盾,08:19,114分钟,,,SHMAAS末次终点ETA推算：07:19采样，终点ETA 60分钟,,06:00,07:19,SHMAAS,,,,,06:25,计划发车,D,末次终点ETA兜底（误差可能>15分钟）,否,1,0,,—/15
浦东78路,,沪A35186D,0,港城路地铁站,06:40,锦带路迎春路（浦东新区办公中心）,全程车,未形成反向≥2站物理推进证据或可靠时空矛盾,08:26,107分钟,,,07:10采样：该车到重点站金高路行泰路 ETA 15分钟；叠加该车自身同类时段从该站到终点历史中位数61分钟，约±8分钟,8,06:00,07:19,SHMAAS,,,,,06:40,计划发车,B,同车重点站剩余时间,是,1,1,107.0,13/15
浦东78路,,沪A56630D,1,锦带路迎春路（浦东新区办公中心）,06:40,港城路地铁站,全程车,未形成反向≥2站物理推进证据或可靠时空矛盾,08:05,86分钟,,,07:19采样：该车到重点站巨峰路五莲路 ETA 3分钟；叠加该车自身同类时段从该站到终点历史中位数43分钟，约±5分钟,5,06:30,07:19,SHMAAS,,,,,06:40,计划发车,B,同车重点站剩余时间,是,1,1,86.0,3/15
浦东78路,,沪A35172D,1,锦带路迎春路（浦东新区办公中心）,06:50,港城路地铁站,全程车,未形成反向≥2站物理推进证据或可靠时空矛盾,08:19,89分钟,,,07:10采样：该车到重点站张杨北路博兴路 ETA 8分钟；叠加该车自身同类时段从该站到终点历史中位数61分钟，约±8分钟,8,06:30,07:19,SHMAAS,,,,,06:50,计划发车,B,同车重点站剩余时间,是,1,1,89.0,4/15
浦东78路,,沪A55150D,0,港城路地铁站,06:50,锦带路迎春路（浦东新区办公中心）,全程车,未形成反向≥2站物理推进证据或可靠时空矛盾,08:22,92分钟,,,07:10采样：该车到重点站杨高北路（外高桥保税区南站） ETA 12分钟；叠加该车自身同类时段从该站到终点历史中位数60分钟，约±6分钟,6,06:20,07:19,SHMAAS,,,,,06:50,计划发车,B,同车重点站剩余时间,是,1,1,92.0,7/15
浦东78路,,沪A55207D,0,港城路地铁站,07:00,锦带路迎春路（浦东新区办公中心）,全程车,未形成反向≥2站物理推进证据或可靠时空矛盾,08:38,99分钟,,,07:19采样：该车到重点站杨高北路花山路 ETA 9分钟；叠加该车自身同类时段从该站到终点历史中位数71分钟，约±5分钟,5,06:30,07:19,SHMAAS,,,,,07:00,计划发车,B,同车重点站剩余时间,是,1,1,99.0,12/15
浦东78路,,沪A59117D,1,锦带路迎春路（浦东新区办公中心）,07:00,港城路地铁站,全程车,未形成反向≥2站物理推进证据或可靠时空矛盾,08:30,90分钟,,,07:10采样：该车到重点站金杨路云山路 ETA 6分钟；叠加该车自身同类时段从该站到终点历史中位数74分钟，约±7分钟,7,06:30,07:19,SHMAAS,,,,,07:00,计划发车,B,同车重点站剩余时间,是,1,1,90.0,6/15
浦东78路,,沪A36809D,0,港城路地铁站,07:10,锦带路迎春路（浦东新区办公中心）,全程车,未形成反向≥2站物理推进证据或可靠时空矛盾,08:39,89分钟,,,按该车自身同方向、同类时段历史全程时间中位数89分钟估算，约±8分钟,8,06:50,07:19,SHMAAS,,,,,07:10,计划发车,B,同车历史全程时间,是,1,1,89.0,4/15
浦东78路,,沪A66391D,1,锦带路迎春路（浦东新区办公中心）,07:15,港城路地铁站,全程车,未形成反向≥2站物理推进证据或可靠时空矛盾,08:34,79分钟,,,按该车自身同方向、同类时段历史全程时间中位数79分钟估算，约±5分钟,5,06:50,07:19,SHMAAS,,,,,07:15,计划发车,B,同车历史全程时间,是,1,1,79.0,1/15
浦东78路,,沪A35591D,0,港城路地铁站,07:20,锦带路迎春路（浦东新区办公中心）,全程车,未形成反向≥2站物理推进证据或可靠时空矛盾,08:54,94分钟,,,按该车自身同方向、同类时段历史全程时间中位数94分钟估算，约±15分钟,15,07:00,07:19,SHMAAS,,,,,07:20,计划发车,C,同车历史全程时间,是,1,1,94.0,10/15
浦东78路,,沪A51173D,1,锦带路迎春路（浦东新区办公中心）,07:30,港城路地铁站,全程车,未形成反向≥2站物理推进证据或可靠时空矛盾,08:55,85分钟,,,按该车自身同方向、同类时段历史全程时间中位数85分钟估算，约±10分钟,10,07:00,07:19,SHMAAS,,,,,07:30,计划发车,B,同车历史全程时间,是,1,1,85.0,2/15
浦东78路,,沪A58633D,0,港城路地铁站,07:30,锦带路迎春路（浦东新区办公中心）,全程车,未形成反向≥2站物理推进证据或可靠时空矛盾,待确认,待确认,,,尚无满足±5分钟标准的终点ETA,,06:10,07:19,SHMAAS,,,,,07:30,计划发车,D,证据不足,否,1,0,,—/15
浦东78路,,沪A57902D,0,港城路地铁站,07:42,锦带路迎春路（浦东新区办公中心）,全程车,未形成反向≥2站物理推进证据或可靠时空矛盾,09:14,92分钟,,,按该车自身同方向、同类时段历史全程时间中位数92分钟估算，约±12分钟,12,07:19,07:19,SHMAAS,,,,,07:42,计划发车,C,同车历史全程时间,是,1,1,92.0,7/15
浦东78路,,沪A56123D,1,锦带路迎春路（浦东新区办公中心）,07:45,港城路地铁站,全程车,未形成反向≥2站物理推进证据或可靠时空矛盾,09:17,92分钟,,,按该车自身同方向、同类时段历史全程时间中位数92分钟估算，约±10分钟,10,06:00,07:19,SHMAAS,,,,,07:45,计划发车,B,同车历史全程时间,是,1,1,92.0,7/15
浦东78路,,沪A52736D,1,锦带路迎春路（浦东新区办公中心）,08:03,港城路地铁站,全程车,未形成反向≥2站物理推进证据或可靠时空矛盾,09:30,87分钟,,,按该车自身同方向、同类时段历史全程时间中位数87分钟估算，约±12分钟,12,06:00,07:19,SHMAAS,,,,,08:03,计划发车,C,同车历史全程时间,是,2,2,95.0,11/15
