线路,临时车辆编号,车牌号,方向,始发站,发车时间,终点站,班次类型,班次类型判定依据,到达时间,全程时间,车速（km/h）,当日平均车速（km/h）,到达时间说明,到达误差估计（分钟）,本车首次观测,本车末次观测,数据源,区间站,区间站到达时间,区间站折返发车时间,区间时间说明,计划发车时间,发车时间依据,到达置信度,到达估算方法,参与车速排名,当日实际运营次数,当日计入排名班次,当日平均全程时间（分钟）,当日车速排名
182路,,沪A13735A,0,川沙客运站,08:15,金杨路金口路,全程车,未形成反向≥2站物理推进证据或可靠时空矛盾,09:42,88分钟,,,09:21采样：该车到重点站平度路长岛路 ETA 12分钟；叠加该车自身同类时段从该站到终点历史中位数9分钟，约±5分钟,5,06:01,09:21,SHMAAS,,,,,08:15,计划发车,B,同车重点站剩余时间,是,2,2,84.5,10/14
182路,,沪A67026D,1,金杨路金口路,08:15,川沙客运站,全程车,未形成反向≥2站物理推进证据或可靠时空矛盾,09:40,85分钟,,,SHMAAS末次终点ETA推算：09:12采样，终点ETA 28分钟,,06:01,09:21,SHMAAS,,,,,08:15,计划发车,C,末次终点ETA兜底,是,3,3,80.7,4/14
182路,,沪A08953A,0,川沙客运站,08:31,金杨路金口路,全程车,未形成反向≥2站物理推进证据或可靠时空矛盾,09:51,80分钟,,,09:21采样：该车到重点站佳林路金高路 ETA 9分钟；叠加该车自身同类时段从该站到终点历史中位数20分钟，约±5分钟,5,07:51,09:21,SHMAAS,,,,,08:31,计划发车,B,同车重点站剩余时间,是,1,1,80.0,2/14
182路,,沪A66513D,1,金杨路金口路,08:35,川沙客运站,全程车,未形成反向≥2站物理推进证据或可靠时空矛盾,09:54,80分钟,,,09:21采样：该车到重点站唐陆公路创新路 ETA 9分钟；叠加该车自身同类时段从该站到终点历史中位数24分钟，约±5分钟,5,06:11,09:21,SHMAAS,,,,,08:35,计划发车,B,同车重点站剩余时间,是,2,2,79.0,1/14
182路,,沪A67353D,0,川沙客运站,08:50,金杨路金口路,全程车,未形成反向≥2站物理推进证据或可靠时空矛盾,10:10,81分钟,,,09:21采样：该车到重点站唐陆公路锦绣东路 ETA 14分钟；叠加该车自身同类时段从该站到终点历史中位数35分钟，约±5分钟,5,06:01,09:21,SHMAAS,,,,,08:50,计划发车,B,同车重点站剩余时间,是,2,2,86.5,11/14
182路,,沪A12050A,1,金杨路金口路,08:55,川沙客运站,全程车,未形成反向≥2站物理推进证据或可靠时空矛盾,待确认,待确认,,,尚无满足±5分钟标准的终点ETA,,06:32,09:21,SHMAAS,,,,,08:55,计划发车,D,证据不足,否,2,1,83.0,6/14
182路,,沪A32298D,0,川沙客运站,09:10,金杨路金口路,全程车,未形成反向≥2站物理推进证据或可靠时空矛盾,10:31,81分钟,,,09:21采样：该车到重点站唐陆公路唐镇路 ETA 23分钟；叠加该车自身同类时段从该站到终点历史中位数46分钟，约±12分钟,12,06:01,09:21,SHMAAS,,,,,09:10,计划发车,C,同车重点站剩余时间,是,2,2,90.0,13/14
182路,,沪A35717D,1,金杨路金口路,09:10,川沙客运站,全程车,未形成反向≥2站物理推进证据或可靠时空矛盾,10:37,87分钟,,,09:21采样：该车到重点站长岛路台儿庄路 ETA 4分钟；叠加该车自身同类时段从该站到终点历史中位数71分钟，约±10分钟,10,06:41,09:21,SHMAAS,,,,,09:10,计划发车,B,同车重点站剩余时间,是,2,2,93.0,14/14
182路,,沪A31073D,1,金杨路金口路,09:22,川沙客运站,全程车,未形成反向≥2站物理推进证据或可靠时空矛盾,10:41,79分钟,,,按该车自身同方向、同类时段历史全程时间中位数79分钟估算，约±8分钟,8,06:01,09:12,SHMAAS,,,,,09:22,计划发车,B,同车历史全程时间,是,2,2,88.5,12/14
182路,,沪A68397D,0,川沙客运站,09:30,金杨路金口路,全程车,未形成反向≥2站物理推进证据或可靠时空矛盾,10:49,79分钟,,,按该车自身同方向、同类时段历史全程时间中位数79分钟估算，约±10分钟,10,06:01,09:21,SHMAAS,,,,,09:30,计划发车,B,同车历史全程时间,是,3,3,83.0,6/14
182路,,沪A55712D,1,金杨路金口路,09:35,川沙客运站,全程车,未形成反向≥2站物理推进证据或可靠时空矛盾,10:46,71分钟,,,按该车自身同方向、同类时段历史全程时间中位数71分钟估算，约±10分钟,10,07:02,09:21,SHMAAS,,,,,09:35,计划发车,B,同车历史全程时间,是,2,2,84.0,8/14
182路,,沪A02126A,1,金杨路金口路,09:50,川沙客运站,全程车,未形成反向≥2站物理推进证据或可靠时空矛盾,11:00,70分钟,,,按该车自身同方向、同类时段历史全程时间中位数70分钟估算，约±8分钟,8,07:20,09:21,SHMAAS,,,,,09:50,计划发车,B,同车历史全程时间,是,2,2,84.0,8/14
182路,,沪A68870D,0,川沙客运站,09:50,金杨路金口路,全程车,未形成反向≥2站物理推进证据或可靠时空矛盾,11:02,72分钟,,,按该车自身同方向、同类时段历史全程时间中位数72分钟估算，约±6分钟,6,06:01,09:21,SHMAAS,,,,,09:50,计划发车,B,同车历史全程时间,是,3,3,80.3,3/14
182路,,沪A67026D,0,川沙客运站,10:15,金杨路金口路,全程车,未形成反向≥2站物理推进证据或可靠时空矛盾,11:32,77分钟,,,按该车自身同方向、同类时段历史全程时间中位数77分钟估算，约±14分钟,14,06:01,09:21,SHMAAS,,,,,10:15,计划发车,C,同车历史全程时间,是,3,3,80.7,4/14
浦东35路,,沪A62217D,0,东高路张杨北路,06:10,康恩路康浦路,全程车,已取得可靠同向线路终点ETA，按全程车保护,08:36,146分钟,,,SHMAAS终点ETA近站估算，约±5分钟,5,06:01,09:21,SHMAAS,,,,,06:10,计划发车,A,终点ETA确认/一致估算,是,2,2,144.0,8/28
浦东35路,,沪A90275D,1,康恩路康浦路,06:10,东高路张杨北路,全程车,已取得可靠同向线路终点ETA，按全程车保护,08:27,137分钟,,,SHMAAS多次终点ETA一致估算，约±3分钟,3,06:01,09:21,SHMAAS,,,,,06:10,计划发车,A,终点ETA确认/一致估算,是,2,2,138.0,1/28
浦东35路,,沪A68261D,0,东高路张杨北路,06:26,康恩路康浦路,全程车,已取得可靠同向线路终点ETA，按全程车保护,08:57,151分钟,,,SHMAAS多次终点ETA一致估算，约±3分钟,3,06:01,09:21,SHMAAS,,,,,06:26,计划发车,A,终点ETA确认/一致估算,是,2,2,142.5,7/28
浦东35路,,沪A66883D,1,康恩路康浦路,06:31,东高路张杨北路,全程车,未形成反向≥2站物理推进证据或可靠时空矛盾,08:59,148分钟,,,SHMAAS末次终点ETA推算：08:51采样，终点ETA 8分钟,,06:01,09:21,SHMAAS,,,,,06:31,计划发车,B,末次终点ETA兜底,是,2,2,144.5,9/28
浦东35路,,沪A11062A,0,东高路张杨北路,06:36,康恩路康浦路,疑似区间车,原方向在全程43%处后消失；随后反向物理轨迹由seq28推进至seq60，推进32站，达到≥2站确认条件,待确认,待确认,,,尚无满足±5分钟标准的终点ETA,,06:01,09:21,SHMAAS,物理seq28（站名待映射）,07:42,07:51,折返点按重建物理位置seq28映射；到达按末次同向ETA估算；折返发车结合首次反向物理观测取区间中点，约±10分钟；反向位置物理seq28（站名待映射） ETA 1分钟参与校验,06:36,计划发车,D,待确认,否,2,0,,—/28
浦东35路,,沪A68895D,0,东高路张杨北路,06:41,康恩路康浦路,全程车,已取得可靠同向线路终点ETA，按全程车保护,09:15,154分钟,,,SHMAAS多次终点ETA一致估算，约±3分钟,3,06:11,09:21,SHMAAS,,,,,06:41,计划发车,A,终点ETA确认/一致估算,是,2,2,147.0,12/28
浦东35路,,沪A71572D,1,康恩路康浦路,06:42,东高路张杨北路,全程车,已取得可靠同向线路终点ETA，按全程车保护,09:17,155分钟,,,SHMAAS多次终点ETA一致估算，约±4分钟,4,06:01,09:21,SHMAAS,,,,,06:42,计划发车,A,终点ETA确认/一致估算,是,2,2,141.0,6/28
浦东35路,,沪A02316D,0,东高路张杨北路,06:54,康恩路康浦路,全程车,已取得可靠同向线路终点ETA，按全程车保护,09:27,153分钟,,,SHMAAS多次终点ETA一致估算，约±3分钟,3,06:31,09:21,SHMAAS,,,,,06:54,计划发车,A,终点ETA确认/一致估算,是,2,2,139.0,4/28
浦东35路,,沪A36993D,1,康恩路康浦路,06:54,东高路张杨北路,全程车,已取得可靠同向线路终点ETA，按全程车保护,09:44,170分钟,,,SHMAAS多次终点ETA一致估算，约±3分钟,3,06:21,09:21,SHMAAS,,,,,06:54,计划发车,A,终点ETA确认/一致估算,是,2,2,148.0,13/28
浦东35路,,沪A09172D,0,东高路张杨北路,07:06,康恩路康浦路,全程车,未形成反向≥2站物理推进证据或可靠时空矛盾,09:33,147分钟,,,SHMAAS末次终点ETA推算：09:21采样，终点ETA 12分钟,,06:41,09:21,SHMAAS,,,,,07:06,计划发车,B,末次终点ETA兜底,是,2,2,138.5,3/28
浦东35路,,沪A57051D,1,康恩路康浦路,07:06,东高路张杨北路,全程车,已取得可靠同向线路终点ETA，按全程车保护,10:06,180分钟,,,SHMAAS多次终点ETA一致估算，约±3分钟,3,06:41,09:21,SHMAAS,,,,,07:06,计划发车,A,终点ETA确认/一致估算,是,1,1,180.0,22/28
浦东35路,,沪A55102D,1,康恩路康浦路,07:12,东高路张杨北路,疑似区间车,原方向在全程36%处后消失；随后反向物理轨迹由seq38推进至seq49，推进11站，达到≥2站确认条件,待确认,待确认,,,尚无满足±5分钟标准的终点ETA,,07:11,09:21,SHMAAS,物理seq24（站名待映射）,08:32,08:41,折返点按重建物理位置seq24映射；到达按末次同向ETA估算；折返发车结合首次反向物理观测取区间中点，约±9分钟；反向位置物理seq38（站名待映射） ETA 8分钟参与校验,07:12,计划发车,D,待确认,否,1,0,,—/28
浦东35路,,沪A05218D,0,东高路张杨北路,07:18,康恩路康浦路,全程车,未形成反向≥2站物理推进证据或可靠时空矛盾,09:53,155分钟,,,09:21采样：该车到重点站周东路川周公路 ETA 14分钟；叠加该车自身同类时段从该站到终点历史中位数18分钟，约±8分钟,8,06:51,09:21,SHMAAS,,,,,07:18,计划发车,B,同车重点站剩余时间,是,1,1,155.0,15/28
浦东35路,,沪A62880D,1,康恩路康浦路,07:18,东高路张杨北路,全程车,未形成反向≥2站物理推进证据或可靠时空矛盾,10:13,175分钟,,,09:21采样：该车到重点站云山路碧云路 ETA 3分钟；叠加该车自身同类时段从该站到终点历史中位数49分钟，约±6分钟,6,06:51,09:21,SHMAAS,,,,,07:18,计划发车,B,同车重点站剩余时间,是,1,1,175.0,20/28
浦东35路,,沪A15790A,1,康恩路康浦路,07:24,东高路张杨北路,疑似区间车,原方向在全程36%处后消失；随后反向物理轨迹由seq38推进至seq41，推进3站，达到≥2站确认条件,待确认,待确认,,,尚无满足±5分钟标准的终点ETA,,07:11,09:11,SHMAAS,物理seq24（站名待映射）,08:45,08:53,折返点按重建物理位置seq24映射；到达按末次同向ETA估算；折返发车结合首次反向物理观测取区间中点，约±8分钟；反向位置物理seq38（站名待映射） ETA 9分钟参与校验,07:24,计划发车,D,待确认,否,1,0,,—/28
浦东35路,,沪A67672D,0,东高路张杨北路,07:30,康恩路康浦路,全程车,未形成反向≥2站物理推进证据或可靠时空矛盾,10:09,160分钟,,,09:21采样：该车到重点站沪南路御桥路 ETA 5分钟；叠加该车自身同类时段从该站到终点历史中位数44分钟，约±7分钟,7,07:01,09:21,SHMAAS,,,,,07:30,计划发车,B,同车重点站剩余时间,是,1,1,160.0,17/28
浦东35路,,沪A70597D,1,康恩路康浦路,07:30,东高路张杨北路,全程车,未形成反向≥2站物理推进证据或可靠时空矛盾,10:35,185分钟,,,09:21采样：该车到重点站迎春路金松路 ETA 0分钟；叠加该车自身同类时段从该站到终点历史中位数74分钟，约±5分钟,5,07:01,09:21,SHMAAS,,,,,07:30,计划发车,B,同车重点站剩余时间,是,1,1,185.0,25/28
浦东35路,,沪A51682D,0,东高路张杨北路,07:42,康恩路康浦路,全程车,未形成反向≥2站物理推进证据或可靠时空矛盾,10:08,146分钟,,,09:21采样：该车到重点站沪南路御桥路 ETA 7分钟；叠加该车自身同类时段从该站到终点历史中位数40分钟，约±15分钟,15,06:21,09:21,SHMAAS,,,,,07:42,计划发车,C,同车重点站剩余时间,是,1,1,146.0,11/28
浦东35路,,沪A72873D,1,康恩路康浦路,07:42,东高路张杨北路,全程车,未形成反向≥2站物理推进证据或可靠时空矛盾,10:41,180分钟,,,09:21采样：该车到重点站迎春路金松路 ETA 15分钟；叠加该车自身同类时段从该站到终点历史中位数66分钟，约±9分钟,9,07:21,09:21,SHMAAS,,,,,07:42,计划发车,B,同车重点站剩余时间,是,1,1,180.0,22/28
浦东35路,,沪A37823D,0,东高路张杨北路,07:54,康恩路康浦路,全程车,未形成反向≥2站物理推进证据或可靠时空矛盾,10:21,148分钟,,,09:21采样：该车到重点站沪南路北中路 ETA 10分钟；叠加该车自身同类时段从该站到终点历史中位数51分钟，约±8分钟,8,07:21,09:21,SHMAAS,,,,,07:54,计划发车,B,同车重点站剩余时间,是,1,1,148.0,13/28
浦东35路,,沪A73927D,1,康恩路康浦路,07:54,东高路张杨北路,全程车,未形成反向≥2站物理推进证据或可靠时空矛盾,10:56,182分钟,,,09:21采样：该车到重点站沪南路高科西路 ETA 5分钟；叠加该车自身同类时段从该站到终点历史中位数90分钟，约±13分钟,13,07:31,09:21,SHMAAS,,,,,07:54,计划发车,C,同车重点站剩余时间,是,1,1,182.0,24/28
浦东35路,,沪A37267D,0,东高路张杨北路,08:06,康恩路康浦路,全程车,未形成反向≥2站物理推进证据或可靠时空矛盾,10:24,138分钟,,,09:21采样：该车到重点站浦建路锦绣路 ETA 4分钟；叠加该车自身同类时段从该站到终点历史中位数59分钟，约±10分钟,10,06:41,09:21,SHMAAS,,,,,08:06,计划发车,B,同车重点站剩余时间,是,1,1,138.0,1/28
浦东35路,,沪A67057D,1,康恩路康浦路,08:06,东高路张杨北路,全程车,未形成反向≥2站物理推进证据或可靠时空矛盾,11:02,177分钟,,,09:21采样：该车到重点站沪南路高科西路 ETA 11分钟；叠加该车自身同类时段从该站到终点历史中位数91分钟，约±5分钟,5,06:01,09:21,SHMAAS,,,,,08:06,计划发车,B,同车重点站剩余时间,是,1,1,177.0,21/28
浦东35路,,沪A02891D,0,东高路张杨北路,08:18,康恩路康浦路,全程车,未形成反向≥2站物理推进证据或可靠时空矛盾,10:43,145分钟,,,09:21采样：该车到重点站丁香路锦绣路 ETA 1分钟；叠加该车自身同类时段从该站到终点历史中位数81分钟，约±5分钟,5,06:01,09:21,SHMAAS,,,,,08:18,计划发车,B,同车重点站剩余时间,是,1,1,145.0,10/28
浦东35路,,沪A67712D,1,康恩路康浦路,08:18,东高路张杨北路,全程车,未形成反向≥2站物理推进证据或可靠时空矛盾,10:58,161分钟,,,09:21采样：该车到重点站沪南路华夏西路 ETA 14分钟；叠加该车自身同类时段从该站到终点历史中位数84分钟，约±5分钟,5,06:41,09:21,SHMAAS,,,,,08:18,计划发车,B,同车重点站剩余时间,是,1,1,161.0,18/28
浦东35路,,沪A62981D,1,康恩路康浦路,08:30,东高路张杨北路,全程车,未形成反向≥2站物理推进证据或可靠时空矛盾,11:13,164分钟,,,09:21采样：该车到重点站沪南路华夏西路 ETA 17分钟；叠加该车自身同类时段从该站到终点历史中位数96分钟，约±5分钟,5,06:01,09:21,SHMAAS,,,,,08:30,计划发车,B,同车重点站剩余时间,是,1,1,164.0,19/28
浦东35路,,沪A65668D,0,东高路张杨北路,08:30,康恩路康浦路,全程车,未形成反向≥2站物理推进证据或可靠时空矛盾,10:49,140分钟,,,09:21采样：该车到重点站丁香路锦绣路 ETA 8分钟；叠加该车自身同类时段从该站到终点历史中位数81分钟，约±5分钟,5,06:01,09:21,SHMAAS,,,,,08:30,计划发车,B,同车重点站剩余时间,是,1,1,140.0,5/28
浦东35路,,沪A68375D,1,康恩路康浦路,08:45,东高路张杨北路,全程车,未形成反向≥2站物理推进证据或可靠时空矛盾,11:24,159分钟,,,09:21采样：该车到重点站康沈路秀康路 ETA 2分钟；叠加该车自身同类时段从该站到终点历史中位数121分钟，约±7分钟,7,06:51,09:21,SHMAAS,,,,,08:45,计划发车,B,同车重点站剩余时间,是,1,1,159.0,16/28
浦东35路,,沪A90275D,0,东高路张杨北路,08:50,康恩路康浦路,全程车,未形成反向≥2站物理推进证据或可靠时空矛盾,11:09,139分钟,,,09:21采样：该车到重点站金杨路金业路 ETA 4分钟；叠加该车自身同类时段从该站到终点历史中位数104分钟，约±5分钟,5,06:01,09:21,SHMAAS,,,,,08:50,计划发车,B,同车重点站剩余时间,是,2,2,138.0,1/28
浦东35路,,沪A62217D,1,康恩路康浦路,09:00,东高路张杨北路,全程车,未形成反向≥2站物理推进证据或可靠时空矛盾,11:21,142分钟,,,09:21采样：该车到重点站康沈路秀康路 ETA 10分钟；叠加该车自身同类时段从该站到终点历史中位数111分钟，约±15分钟,15,06:01,09:21,SHMAAS,,,,,09:00,计划发车,C,同车重点站剩余时间,是,2,2,144.0,8/28
浦东35路,,沪A66883D,0,东高路张杨北路,09:10,康恩路康浦路,全程车,未形成反向≥2站物理推进证据或可靠时空矛盾,11:30,141分钟,,,09:21采样：该车到重点站莱阳路东陆路 ETA 4分钟；叠加该车自身同类时段从该站到终点历史中位数126分钟，约±7分钟,7,06:01,09:21,SHMAAS,,,,,09:10,计划发车,B,同车重点站剩余时间,是,2,2,144.5,9/28
浦东35路,,沪A68261D,1,康恩路康浦路,09:15,东高路张杨北路,全程车,未形成反向≥2站物理推进证据或可靠时空矛盾,11:29,134分钟,,,09:21采样：该车到重点站关岳路康达路 ETA 5分钟；叠加该车自身同类时段从该站到终点历史中位数123分钟，约±9分钟,9,06:01,09:21,SHMAAS,,,,,09:15,计划发车,B,同车重点站剩余时间,是,2,2,142.5,7/28
浦东35路,,沪A11062A,0,东高路张杨北路,09:24,康恩路康浦路,全程车,未形成反向≥2站物理推进证据或可靠时空矛盾,待确认,待确认,,,尚无满足±5分钟标准的终点ETA,,06:01,09:21,SHMAAS,,,,,09:24,计划发车,D,证据不足,否,2,0,,—/28
浦东35路,,沪A68895D,1,康恩路康浦路,09:30,东高路张杨北路,全程车,未形成反向≥2站物理推进证据或可靠时空矛盾,11:50,140分钟,,,按该车自身同方向、同类时段历史全程时间中位数140分钟估算，约±13分钟,13,06:11,09:21,SHMAAS,,,,,09:30,计划发车,C,同车历史全程时间,是,2,2,147.0,12/28
浦东35路,,沪A71572D,0,东高路张杨北路,09:32,康恩路康浦路,全程车,未形成反向≥2站物理推进证据或可靠时空矛盾,11:39,127分钟,,,按该车自身同方向、同类时段历史全程时间中位数127分钟估算，约±5分钟,5,06:01,09:21,SHMAAS,,,,,09:32,计划发车,B,同车历史全程时间,是,2,2,141.0,6/28
浦东35路,,沪A02316D,1,康恩路康浦路,09:45,东高路张杨北路,全程车,未形成反向≥2站物理推进证据或可靠时空矛盾,11:50,125分钟,,,按该车自身同方向、同类时段历史全程时间中位数125分钟估算，约±6分钟,6,06:31,09:21,SHMAAS,,,,,09:45,计划发车,B,同车历史全程时间,是,2,2,139.0,4/28
浦东35路,,沪A36993D,0,东高路张杨北路,09:50,康恩路康浦路,全程车,未形成反向≥2站物理推进证据或可靠时空矛盾,11:56,126分钟,,,按该车自身同方向、同类时段历史全程时间中位数126分钟估算，约±5分钟,5,06:21,09:21,SHMAAS,,,,,09:50,计划发车,B,同车历史全程时间,是,2,2,148.0,13/28
浦东35路,,沪A09172D,1,康恩路康浦路,10:00,东高路张杨北路,全程车,未形成反向≥2站物理推进证据或可靠时空矛盾,12:10,130分钟,,,按该车自身同方向、同类时段历史全程时间中位数130分钟估算，约±5分钟,5,06:41,09:21,SHMAAS,,,,,10:00,计划发车,B,同车历史全程时间,是,2,2,138.5,3/28
浦东78路,,沪A52736D,0,港城路地铁站,06:10,锦带路迎春路（浦东新区办公中心）,全程车,未形成反向≥2站物理推进证据或可靠时空矛盾,07:38,89分钟,,,SHMAAS末次终点ETA推算：07:30采样，终点ETA 8分钟,,06:00,09:20,SHMAAS,,,,,06:10,计划发车,B,末次终点ETA兜底,是,2,2,90.5,2/18
浦东78路,,沪A35616D,0,港城路地铁站,06:25,锦带路迎春路（浦东新区办公中心）,全程车,未形成反向≥2站物理推进证据或可靠时空矛盾,08:07,103分钟,,,SHMAAS末次终点ETA推算：08:00采样，终点ETA 7分钟,,06:00,09:20,SHMAAS,,,,,06:25,计划发车,B,末次终点ETA兜底,是,3,3,97.7,13/18
浦东78路,,沪A35186D,0,港城路地铁站,06:40,锦带路迎春路（浦东新区办公中心）,全程车,未形成反向≥2站物理推进证据或可靠时空矛盾,08:27,108分钟,,,SHMAAS末次终点ETA推算：08:20采样，终点ETA 7分钟,,06:00,09:20,SHMAAS,,,,,06:40,计划发车,B,末次终点ETA兜底,是,2,2,96.5,11/18
浦东78路,,沪A56630D,1,锦带路迎春路（浦东新区办公中心）,06:40,港城路地铁站,全程车,已取得可靠同向线路终点ETA，按全程车保护,08:12,92分钟,,,SHMAAS终点ETA近站估算，约±5分钟,5,06:30,09:20,SHMAAS,,,,,06:40,计划发车,A,终点ETA确认/一致估算,是,2,2,92.0,4/18
浦东78路,,沪A35172D,1,锦带路迎春路（浦东新区办公中心）,06:50,港城路地铁站,全程车,已取得可靠同向线路终点ETA，按全程车保护,08:18,88分钟,,,SHMAAS多次终点ETA一致估算，约±3分钟,3,06:30,09:20,SHMAAS,,,,,06:50,计划发车,A,终点ETA确认/一致估算,是,2,2,92.5,7/18
浦东78路,,沪A55150D,0,港城路地铁站,06:50,锦带路迎春路（浦东新区办公中心）,全程车,未形成反向≥2站物理推进证据或可靠时空矛盾,08:46,116分钟,,,同车下一次反向发车08:57，减去该车自身同类时段历史终点停站中位数11分钟，约±5分钟,5,06:20,09:20,SHMAAS,,,,,06:50,计划发车,B,同车反向发车反推,是,2,2,104.5,18/18
浦东78路,,沪A55207D,0,港城路地铁站,07:00,锦带路迎春路（浦东新区办公中心）,全程车,已取得可靠同向线路终点ETA，按全程车保护,08:53,113分钟,,,SHMAAS终点ETA近站估算，约±5分钟,5,06:30,09:20,SHMAAS,,,,,07:00,计划发车,A,终点ETA确认/一致估算,是,2,2,101.5,16/18
浦东78路,,沪A59117D,1,锦带路迎春路（浦东新区办公中心）,07:00,港城路地铁站,全程车,已取得可靠同向线路终点ETA，按全程车保护,08:35,95分钟,,,SHMAAS终点ETA近站估算，约±5分钟,5,06:30,09:20,SHMAAS,,,,,07:00,计划发车,A,终点ETA确认/一致估算,是,2,2,99.0,14/18
