线路,临时车辆编号,车牌号,方向,始发站,发车时间,终点站,班次类型,班次类型判定依据,到达时间,全程时间,车速（km/h）,当日平均车速（km/h）,到达时间说明,到达误差估计（分钟）,本车首次观测,本车末次观测,数据源,区间站,区间站到达时间,区间站折返发车时间,区间时间说明,计划发车时间,发车时间依据,到达置信度,到达估算方法,参与车速排名,当日实际运营次数,当日计入排名班次,当日平均全程时间（分钟）,当日车速排名
182路,,沪A68397D,1,金杨路金口路,07:15,川沙客运站,全程车,已取得可靠同向线路终点ETA，按全程车保护,08:47,92分钟,,,SHMAAS多次终点ETA一致估算，约±3分钟,3,06:01,20:41,SHMAAS,,,,,07:15,计划发车,A,终点ETA确认/一致估算,是,7,7,78.0,8/14
182路,,沪A67026D,0,川沙客运站,07:24,金杨路金口路,全程车,已取得可靠同向线路终点ETA，按全程车保护,08:52,88分钟,,,SHMAAS终点近站ETA直接确认，约±2分钟,2,06:01,19:21,SHMAAS,,,,,07:24,计划发车,A,终点ETA确认/一致估算,是,6,6,79.2,11/14
182路,,沪A68870D,1,金杨路金口路,07:35,川沙客运站,全程车,已取得可靠同向线路终点ETA，按全程车保护,09:03,88分钟,,,SHMAAS终点ETA近站估算，约±5分钟,5,06:01,21:01,SHMAAS,,,,,07:35,计划发车,A,终点ETA确认/一致估算,是,8,8,73.4,2/14
182路,,沪A67983D,0,川沙客运站,07:36,金杨路金口路,全程车,已取得可靠同向线路终点ETA，按全程车保护,09:02,86分钟,,,SHMAAS终点近站ETA直接确认，约±2分钟,2,07:02,21:22,SHMAAS,,,,,07:36,计划发车,A,终点ETA确认/一致估算,是,8,8,78.2,10/14
182路,,沪A02126A,0,川沙客运站,07:48,金杨路金口路,全程车,未形成反向≥2站物理推进证据或可靠时空矛盾,09:26,98分钟,,,同车下一次反向发车09:50，减去该车自身同类时段历史终点停站中位数24分钟，约±5分钟,5,07:21,19:41,SHMAAS,,,,,07:48,计划发车,B,同车反向发车反推,是,6,6,76.5,6/14
182路,,沪A66513D,1,金杨路金口路,07:55,川沙客运站,全程车,已取得可靠同向线路终点ETA，按全程车保护,09:20,85分钟,,,SHMAAS多次终点ETA一致估算，约±3分钟,3,06:01,21:11,SHMAAS,,,,,07:55,计划发车,A,终点ETA确认/一致估算,是,8,8,73.9,3/14
182路,,沪A13735A,0,川沙客运站,08:00,金杨路金口路,全程车,已取得可靠同向线路终点ETA，按全程车保护,09:27,87分钟,,,SHMAAS多次终点ETA一致估算，约±3分钟,3,06:01,19:41,SHMAAS,,,,,08:00,计划发车,A,终点ETA确认/一致估算,是,7,7,79.3,13/14
182路,,沪A31073D,1,金杨路金口路,08:15,川沙客运站,全程车,已取得可靠同向线路终点ETA，按全程车保护,09:35,80分钟,,,SHMAAS终点ETA近站估算，约±5分钟,5,06:01,18:42,SHMAAS,,,,,08:15,计划发车,A,终点ETA确认/一致估算,是,6,6,79.2,11/14
182路,,沪A67353D,0,川沙客运站,08:15,金杨路金口路,全程车,已取得可靠同向线路终点ETA，按全程车保护,09:40,85分钟,,,SHMAAS多次终点ETA一致估算，约±3分钟,3,06:01,20:01,SHMAAS,,,,,08:15,计划发车,A,终点ETA确认/一致估算,是,7,7,78.0,8/14
182路,,沪A08953A,0,川沙客运站,08:31,金杨路金口路,全程车,已取得可靠同向线路终点ETA，按全程车保护,09:43,72分钟,,,SHMAAS终点ETA近站估算，约±5分钟,5,07:51,20:11,SHMAAS,,,,,08:31,计划发车,A,终点ETA确认/一致估算,是,6,6,73.3,1/14
182路,,沪A55712D,1,金杨路金口路,08:35,川沙客运站,全程车,已取得可靠同向线路终点ETA，按全程车保护,09:52,77分钟,,,SHMAAS终点近站ETA直接确认，约±2分钟,2,06:41,21:22,SHMAAS,,,,,08:35,计划发车,A,终点ETA确认/一致估算,是,8,8,74.0,4/14
182路,,沪A32298D,0,川沙客运站,08:50,金杨路金口路,全程车,已取得可靠同向线路终点ETA，按全程车保护,10:06,76分钟,,,SHMAAS终点ETA近站估算，约±5分钟,5,06:01,20:21,SHMAAS,,,,,08:50,计划发车,A,终点ETA确认/一致估算,是,7,7,77.3,7/14
182路,,沪A12050A,1,金杨路金口路,08:55,川沙客运站,全程车,已取得可靠同向线路终点ETA，按全程车保护,10:06,71分钟,,,SHMAAS终点ETA近站估算，约±5分钟,5,06:21,17:31,SHMAAS,,,,,08:55,计划发车,A,终点ETA确认/一致估算,是,4,4,74.2,5/14
182路,,沪A35717D,1,金杨路金口路,09:10,川沙客运站,全程车,已取得可靠同向线路终点ETA，按全程车保护,10:29,79分钟,,,SHMAAS多次终点ETA一致估算，约±3分钟,3,06:11,21:22,SHMAAS,,,,,09:10,计划发车,A,终点ETA确认/一致估算,是,9,9,83.2,14/14
182路,,沪A68397D,0,川沙客运站,09:10,金杨路金口路,全程车,已取得可靠同向线路终点ETA，按全程车保护,10:22,72分钟,,,SHMAAS终点近站ETA直接确认，约±2分钟,2,06:01,20:41,SHMAAS,,,,,09:10,计划发车,A,终点ETA确认/一致估算,是,7,7,78.0,8/14
182路,,沪A67026D,1,金杨路金口路,09:22,川沙客运站,全程车,已取得可靠同向线路终点ETA，按全程车保护,10:33,71分钟,,,SHMAAS终点ETA近站估算，约±5分钟,5,06:01,19:21,SHMAAS,,,,,09:22,计划发车,A,终点ETA确认/一致估算,是,6,6,79.2,11/14
182路,,沪A68870D,0,川沙客运站,09:30,金杨路金口路,全程车,已取得可靠同向线路终点ETA，按全程车保护,10:40,70分钟,,,SHMAAS多次终点ETA一致估算，约±3分钟,3,06:01,21:01,SHMAAS,,,,,09:30,计划发车,A,终点ETA确认/一致估算,是,8,8,73.4,2/14
182路,,沪A67983D,1,金杨路金口路,09:35,川沙客运站,全程车,已取得可靠同向线路终点ETA，按全程车保护,10:48,73分钟,,,SHMAAS多次终点ETA一致估算，约±3分钟,3,07:02,21:22,SHMAAS,,,,,09:35,计划发车,A,终点ETA确认/一致估算,是,8,8,78.2,10/14
182路,,沪A02126A,1,金杨路金口路,09:50,川沙客运站,全程车,未形成反向≥2站物理推进证据或可靠时空矛盾,11:00,71分钟,,,SHMAAS末次终点ETA推算：10:41采样，终点ETA 19分钟,,07:21,19:41,SHMAAS,,,,,09:50,计划发车,B,末次终点ETA兜底,是,6,6,76.5,6/14
182路,,沪A66513D,0,川沙客运站,09:50,金杨路金口路,全程车,已取得可靠同向线路终点ETA，按全程车保护,11:06,76分钟,,,SHMAAS终点ETA近站估算，约±5分钟,5,06:01,21:11,SHMAAS,,,,,09:50,计划发车,A,终点ETA确认/一致估算,是,8,8,73.9,3/14
182路,,沪A13735A,1,金杨路金口路,10:05,川沙客运站,全程车,已取得可靠同向线路终点ETA，按全程车保护,11:22,77分钟,,,SHMAAS终点近站ETA直接确认，约±2分钟,2,06:01,19:41,SHMAAS,,,,,10:05,计划发车,A,终点ETA确认/一致估算,是,7,7,79.3,13/14
182路,,沪A31073D,0,川沙客运站,10:15,金杨路金口路,全程车,已取得可靠同向线路终点ETA，按全程车保护,11:25,70分钟,,,SHMAAS终点ETA近站估算，约±5分钟,5,06:01,18:42,SHMAAS,,,,,10:15,计划发车,A,终点ETA确认/一致估算,是,6,6,79.2,11/14
182路,,沪A67353D,1,金杨路金口路,10:20,川沙客运站,全程车,已取得可靠同向线路终点ETA，按全程车保护,11:35,75分钟,,,SHMAAS终点ETA近站估算，约±5分钟,5,06:01,20:01,SHMAAS,,,,,10:20,计划发车,A,终点ETA确认/一致估算,是,7,7,78.0,8/14
182路,,沪A08953A,1,金杨路金口路,10:35,川沙客运站,全程车,已取得可靠同向线路终点ETA，按全程车保护,11:46,71分钟,,,SHMAAS终点ETA近站估算，约±5分钟,5,07:51,20:11,SHMAAS,,,,,10:35,计划发车,A,终点ETA确认/一致估算,是,6,6,73.3,1/14
182路,,沪A55712D,0,川沙客运站,10:40,金杨路金口路,全程车,已取得可靠同向线路终点ETA，按全程车保护,11:43,63分钟,,,SHMAAS终点ETA近站估算，约±5分钟,5,06:41,21:22,SHMAAS,,,,,10:40,计划发车,A,终点ETA确认/一致估算,是,8,8,74.0,4/14
182路,,沪A32298D,1,金杨路金口路,10:50,川沙客运站,全程车,已取得可靠同向线路终点ETA，按全程车保护,12:00,70分钟,,,SHMAAS多次终点ETA一致估算，约±3分钟,3,06:01,20:21,SHMAAS,,,,,10:50,计划发车,A,终点ETA确认/一致估算,是,7,7,77.3,7/14
182路,,沪A35717D,0,川沙客运站,11:05,金杨路金口路,全程车,已取得可靠同向线路终点ETA，按全程车保护,12:16,71分钟,,,SHMAAS终点ETA近站估算，约±5分钟,5,06:11,21:22,SHMAAS,,,,,11:05,计划发车,A,终点ETA确认/一致估算,是,9,9,83.2,14/14
182路,,沪A68397D,1,金杨路金口路,11:05,川沙客运站,全程车,已取得可靠同向线路终点ETA，按全程车保护,12:20,75分钟,,,SHMAAS多次终点ETA一致估算，约±3分钟,3,06:01,20:41,SHMAAS,,,,,11:05,计划发车,A,终点ETA确认/一致估算,是,7,7,78.0,8/14
182路,,沪A68870D,1,金杨路金口路,11:20,川沙客运站,全程车,已取得可靠同向线路终点ETA，按全程车保护,12:33,73分钟,,,SHMAAS终点近站ETA直接确认，约±2分钟,2,06:01,21:01,SHMAAS,,,,,11:20,计划发车,A,终点ETA确认/一致估算,是,8,8,73.4,2/14
182路,,沪A67983D,0,川沙客运站,11:30,金杨路金口路,全程车,已取得可靠同向线路终点ETA，按全程车保护,12:42,72分钟,,,SHMAAS多次终点ETA一致估算，约±4分钟,4,07:02,21:22,SHMAAS,,,,,11:30,计划发车,A,终点ETA确认/一致估算,是,8,8,78.2,10/14
182路,,沪A66513D,1,金杨路金口路,11:40,川沙客运站,全程车,已取得可靠同向线路终点ETA，按全程车保护,12:49,69分钟,,,SHMAAS多次终点ETA一致估算，约±3分钟,3,06:01,21:11,SHMAAS,,,,,11:40,计划发车,A,终点ETA确认/一致估算,是,8,8,73.9,3/14
182路,,沪A02126A,0,川沙客运站,11:55,金杨路金口路,全程车,已取得可靠同向线路终点ETA，按全程车保护,13:03,68分钟,,,SHMAAS终点ETA近站估算，约±5分钟,5,07:21,19:41,SHMAAS,,,,,11:55,计划发车,A,终点ETA确认/一致估算,是,6,6,76.5,6/14
182路,,沪A31073D,1,金杨路金口路,12:00,川沙客运站,全程车,已取得可靠同向线路终点ETA，按全程车保护,13:13,73分钟,,,SHMAAS多次终点ETA一致估算，约±3分钟,3,06:01,18:42,SHMAAS,,,,,12:00,计划发车,A,终点ETA确认/一致估算,是,6,6,79.2,11/14
182路,,沪A08953A,0,川沙客运站,12:20,金杨路金口路,全程车,已取得可靠同向线路终点ETA，按全程车保护,13:26,66分钟,,,SHMAAS终点ETA近站估算，约±5分钟,5,07:51,20:11,SHMAAS,,,,,12:20,计划发车,A,终点ETA确认/一致估算,是,6,6,73.3,1/14
182路,,沪A55712D,1,金杨路金口路,12:20,川沙客运站,全程车,已取得可靠同向线路终点ETA，按全程车保护,13:31,71分钟,,,SHMAAS多次终点ETA一致估算，约±4分钟,4,06:41,21:22,SHMAAS,,,,,12:20,计划发车,A,终点ETA确认/一致估算,是,8,8,74.0,4/14
182路,,沪A35717D,1,金杨路金口路,12:40,川沙客运站,全程车,已取得可靠同向线路终点ETA，按全程车保护,13:50,70分钟,,,SHMAAS多次终点ETA一致估算，约±3分钟,3,06:11,21:22,SHMAAS,,,,,12:40,计划发车,A,终点ETA确认/一致估算,是,9,9,83.2,14/14
182路,,沪A67026D,0,川沙客运站,12:45,金杨路金口路,全程车,已取得可靠同向线路终点ETA，按全程车保护,13:56,71分钟,,,SHMAAS终点ETA近站估算，约±5分钟,5,06:01,19:21,SHMAAS,,,,,12:45,计划发车,A,终点ETA确认/一致估算,是,6,6,79.2,11/14
182路,,沪A67983D,1,金杨路金口路,13:00,川沙客运站,全程车,已取得可靠同向线路终点ETA，按全程车保护,14:12,72分钟,,,SHMAAS终点近站ETA直接确认，约±2分钟,2,07:02,21:22,SHMAAS,,,,,13:00,计划发车,A,终点ETA确认/一致估算,是,8,8,78.2,10/14
182路,,沪A13735A,0,川沙客运站,13:10,金杨路金口路,全程车,已取得可靠同向线路终点ETA，按全程车保护,14:22,72分钟,,,SHMAAS终点近站ETA直接确认，约±2分钟,2,06:01,19:41,SHMAAS,,,,,13:10,计划发车,A,终点ETA确认/一致估算,是,7,7,79.3,13/14
182路,,沪A02126A,1,金杨路金口路,13:25,川沙客运站,全程车,已取得可靠同向线路终点ETA，按全程车保护,14:32,67分钟,,,SHMAAS终点近站ETA直接确认，约±2分钟,2,07:21,19:41,SHMAAS,,,,,13:25,计划发车,A,终点ETA确认/一致估算,是,6,6,76.5,6/14
182路,,沪A67353D,0,川沙客运站,13:35,金杨路金口路,全程车,已取得可靠同向线路终点ETA，按全程车保护,14:43,68分钟,,,SHMAAS终点ETA近站估算，约±5分钟,5,06:01,20:01,SHMAAS,,,,,13:35,计划发车,A,终点ETA确认/一致估算,是,7,7,78.0,8/14
182路,,沪A08953A,1,金杨路金口路,13:50,川沙客运站,全程车,已取得可靠同向线路终点ETA，按全程车保护,15:03,73分钟,,,SHMAAS终点近站ETA直接确认，约±2分钟,2,07:51,20:11,SHMAAS,,,,,13:50,计划发车,A,终点ETA确认/一致估算,是,6,6,73.3,1/14
182路,,沪A32298D,0,川沙客运站,14:00,金杨路金口路,全程车,已取得可靠同向线路终点ETA，按全程车保护,15:13,73分钟,,,SHMAAS多次终点ETA一致估算，约±4分钟,4,06:01,20:21,SHMAAS,,,,,14:00,计划发车,A,终点ETA确认/一致估算,是,7,7,77.3,7/14
182路,,沪A67026D,1,金杨路金口路,14:15,川沙客运站,全程车,已取得可靠同向线路终点ETA，按全程车保护,15:32,77分钟,,,SHMAAS终点近站ETA直接确认，约±2分钟,2,06:01,19:21,SHMAAS,,,,,14:15,计划发车,A,终点ETA确认/一致估算,是,6,6,79.2,11/14
182路,,沪A68397D,0,川沙客运站,14:20,金杨路金口路,全程车,已取得可靠同向线路终点ETA，按全程车保护,15:30,70分钟,,,SHMAAS多次终点ETA一致估算，约±4分钟,4,06:01,20:41,SHMAAS,,,,,14:20,计划发车,A,终点ETA确认/一致估算,是,7,7,78.0,8/14
182路,,沪A13735A,1,金杨路金口路,14:40,川沙客运站,全程车,已取得可靠同向线路终点ETA，按全程车保护,15:53,73分钟,,,SHMAAS终点ETA近站估算，约±5分钟,5,06:01,19:41,SHMAAS,,,,,14:40,计划发车,A,终点ETA确认/一致估算,是,7,7,79.3,13/14
182路,,沪A68870D,0,川沙客运站,14:40,金杨路金口路,全程车,已取得可靠同向线路终点ETA，按全程车保护,15:47,67分钟,,,SHMAAS多次终点ETA一致估算，约±3分钟,3,06:01,21:01,SHMAAS,,,,,14:40,计划发车,A,终点ETA确认/一致估算,是,8,8,73.4,2/14
182路,,沪A12050A,0,川沙客运站,15:00,金杨路金口路,全程车,已取得可靠同向线路终点ETA，按全程车保护,16:07,67分钟,,,SHMAAS终点ETA近站估算，约±5分钟,5,06:21,17:31,SHMAAS,,,,,15:00,计划发车,A,终点ETA确认/一致估算,是,4,4,74.2,5/14
182路,,沪A67353D,1,金杨路金口路,15:00,川沙客运站,全程车,已取得可靠同向线路终点ETA，按全程车保护,16:15,75分钟,,,SHMAAS终点ETA近站估算，约±5分钟,5,06:01,20:01,SHMAAS,,,,,15:00,计划发车,A,终点ETA确认/一致估算,是,7,7,78.0,8/14
182路,,沪A66513D,0,川沙客运站,15:15,金杨路金口路,全程车,已取得可靠同向线路终点ETA，按全程车保护,16:23,68分钟,,,SHMAAS终点ETA近站估算，约±5分钟,5,06:01,21:11,SHMAAS,,,,,15:15,计划发车,A,终点ETA确认/一致估算,是,8,8,73.9,3/14
182路,,沪A32298D,1,金杨路金口路,15:20,川沙客运站,全程车,已取得可靠同向线路终点ETA，按全程车保护,16:39,79分钟,,,SHMAAS多次终点ETA一致估算，约±5分钟,5,06:01,20:21,SHMAAS,,,,,15:20,计划发车,A,终点ETA确认/一致估算,是,7,7,77.3,7/14
182路,,沪A55712D,0,川沙客运站,15:30,金杨路金口路,全程车,已取得可靠同向线路终点ETA，按全程车保护,16:45,75分钟,,,SHMAAS终点ETA近站估算，约±5分钟,5,06:41,21:22,SHMAAS,,,,,15:30,计划发车,A,终点ETA确认/一致估算,是,8,8,74.0,4/14
182路,,沪A68397D,1,金杨路金口路,15:40,川沙客运站,全程车,已取得可靠同向线路终点ETA，按全程车保护,17:03,83分钟,,,SHMAAS多次终点ETA一致估算，约±5分钟,5,06:01,20:41,SHMAAS,,,,,15:40,计划发车,A,终点ETA确认/一致估算,是,7,7,78.0,8/14
182路,,沪A31073D,0,川沙客运站,15:45,金杨路金口路,全程车,已取得可靠同向线路终点ETA，按全程车保护,16:59,74分钟,,,SHMAAS多次终点ETA一致估算，约±3分钟,3,06:01,18:42,SHMAAS,,,,,15:45,计划发车,A,终点ETA确认/一致估算,是,6,6,79.2,11/14
182路,,沪A35717D,0,川沙客运站,16:00,金杨路金口路,全程车,未形成反向≥2站物理推进证据或可靠时空矛盾,17:12,73分钟,,,SHMAAS末次终点ETA推算：16:51采样，终点ETA 21分钟,,06:11,21:22,SHMAAS,,,,,16:00,计划发车,C,末次终点ETA兜底,是,9,9,83.2,14/14
182路,,沪A68870D,1,金杨路金口路,16:00,川沙客运站,全程车,已取得可靠同向线路终点ETA，按全程车保护,17:11,71分钟,,,SHMAAS多次终点ETA一致估算，约±3分钟,3,06:01,21:01,SHMAAS,,,,,16:00,计划发车,A,终点ETA确认/一致估算,是,8,8,73.4,2/14
182路,,沪A67983D,0,川沙客运站,16:12,金杨路金口路,全程车,已取得可靠同向线路终点ETA，按全程车保护,17:30,78分钟,,,SHMAAS多次终点ETA一致估算，约±3分钟,3,07:02,21:22,SHMAAS,,,,,16:12,计划发车,A,终点ETA确认/一致估算,是,8,8,78.2,10/14
182路,,沪A12050A,1,金杨路金口路,16:20,川沙客运站,全程车,已取得可靠同向线路终点ETA，按全程车保护,17:38,78分钟,,,SHMAAS多次终点ETA一致估算，约±3分钟,3,06:21,17:31,SHMAAS,,,,,16:20,计划发车,A,终点ETA确认/一致估算,是,4,4,74.2,5/14
182路,,沪A67026D,0,川沙客运站,16:24,金杨路金口路,全程车,已取得可靠同向线路终点ETA，按全程车保护,17:46,82分钟,,,SHMAAS多次终点ETA一致估算，约±4分钟,4,06:01,19:21,SHMAAS,,,,,16:24,计划发车,A,终点ETA确认/一致估算,是,6,6,79.2,11/14
182路,,沪A13735A,0,川沙客运站,16:36,金杨路金口路,全程车,已取得可靠同向线路终点ETA，按全程车保护,17:56,80分钟,,,SHMAAS多次终点ETA一致估算，约±3分钟,3,06:01,19:41,SHMAAS,,,,,16:36,计划发车,A,终点ETA确认/一致估算,是,7,7,79.3,13/14
182路,,沪A66513D,1,金杨路金口路,16:40,川沙客运站,全程车,已取得可靠同向线路终点ETA，按全程车保护,18:06,86分钟,,,SHMAAS终点ETA近站估算，约±5分钟,5,06:01,21:11,SHMAAS,,,,,16:40,计划发车,A,终点ETA确认/一致估算,是,8,8,73.9,3/14
182路,,沪A02126A,0,川沙客运站,16:48,金杨路金口路,全程车,已取得可靠同向线路终点ETA，按全程车保护,18:05,77分钟,,,SHMAAS终点ETA近站估算，约±5分钟,5,07:21,19:41,SHMAAS,,,,,16:48,计划发车,A,终点ETA确认/一致估算,是,6,6,76.5,6/14
182路,,沪A55712D,1,金杨路金口路,17:00,川沙客运站,全程车,已取得可靠同向线路终点ETA，按全程车保护,18:20,80分钟,,,SHMAAS多次终点ETA一致估算，约±3分钟,3,06:41,21:22,SHMAAS,,,,,17:00,计划发车,A,终点ETA确认/一致估算,是,8,8,74.0,4/14
182路,,沪A67353D,0,川沙客运站,17:00,金杨路金口路,全程车,已取得可靠同向线路终点ETA，按全程车保护,18:26,86分钟,,,SHMAAS多次终点ETA一致估算，约±4分钟,4,06:01,20:01,SHMAAS,,,,,17:00,计划发车,A,终点ETA确认/一致估算,是,7,7,78.0,8/14
182路,,沪A08953A,0,川沙客运站,17:15,金杨路金口路,全程车,已取得可靠同向线路终点ETA，按全程车保护,18:33,78分钟,,,SHMAAS终点ETA近站估算，约±5分钟,5,07:51,20:11,SHMAAS,,,,,17:15,计划发车,A,终点ETA确认/一致估算,是,6,6,73.3,1/14
182路,,沪A31073D,1,金杨路金口路,17:15,川沙客运站,全程车,已取得可靠同向线路终点ETA，按全程车保护,18:46,91分钟,,,SHMAAS多次终点ETA一致估算，约±3分钟,3,06:01,18:42,SHMAAS,,,,,17:15,计划发车,A,终点ETA确认/一致估算,是,6,6,79.2,11/14
182路,,沪A32298D,0,川沙客运站,17:30,金杨路金口路,全程车,已取得可靠同向线路终点ETA，按全程车保护,18:52,82分钟,,,SHMAAS终点近站ETA直接确认，约±2分钟,2,06:01,20:21,SHMAAS,,,,,17:30,计划发车,A,终点ETA确认/一致估算,是,7,7,77.3,7/14
182路,,沪A35717D,1,金杨路金口路,17:30,川沙客运站,全程车,已取得可靠同向线路终点ETA，按全程车保护,19:00,90分钟,,,SHMAAS多次终点ETA一致估算，约±3分钟,3,06:11,21:22,SHMAAS,,,,,17:30,计划发车,A,终点ETA确认/一致估算,是,9,9,83.2,14/14
182路,,沪A67983D,1,金杨路金口路,17:45,川沙客运站,全程车,已取得可靠同向线路终点ETA，按全程车保护,19:16,91分钟,,,SHMAAS终点ETA近站估算，约±5分钟,5,07:02,21:22,SHMAAS,,,,,17:45,计划发车,A,终点ETA确认/一致估算,是,8,8,78.2,10/14
182路,,沪A68397D,0,川沙客运站,17:50,金杨路金口路,全程车,已取得可靠同向线路终点ETA，按全程车保护,19:08,78分钟,,,SHMAAS多次终点ETA一致估算，约±4分钟,4,06:01,20:41,SHMAAS,,,,,17:50,计划发车,A,终点ETA确认/一致估算,是,7,7,78.0,8/14
182路,,沪A67026D,1,金杨路金口路,18:01,川沙客运站,全程车,已取得可靠同向线路终点ETA，按全程车保护,19:27,86分钟,,,SHMAAS多次终点ETA一致估算，约±3分钟,3,06:01,19:21,SHMAAS,,,,,18:01,计划发车,A,终点ETA确认/一致估算,是,6,6,79.2,11/14
182路,,沪A13735A,1,金杨路金口路,18:15,川沙客运站,全程车,已取得可靠同向线路终点ETA，按全程车保护,19:46,91分钟,,,SHMAAS终点ETA近站估算，约±5分钟,5,06:01,19:41,SHMAAS,,,,,18:15,计划发车,A,终点ETA确认/一致估算,是,7,7,79.3,13/14
182路,,沪A68870D,0,川沙客运站,18:15,金杨路金口路,全程车,已取得可靠同向线路终点ETA，按全程车保护,19:29,74分钟,,,SHMAAS多次终点ETA一致估算，约±3分钟,3,06:01,21:01,SHMAAS,,,,,18:15,计划发车,A,终点ETA确认/一致估算,是,8,8,73.4,2/14
182路,,沪A02126A,1,金杨路金口路,18:31,川沙客运站,全程车,已取得可靠同向线路终点ETA，按全程车保护,19:49,78分钟,,,SHMAAS多次终点ETA一致估算，约±3分钟,3,07:21,19:41,SHMAAS,,,,,18:31,计划发车,A,终点ETA确认/一致估算,是,6,6,76.5,6/14
182路,,沪A66513D,0,川沙客运站,18:40,金杨路金口路,全程车,已取得可靠同向线路终点ETA，按全程车保护,19:46,66分钟,,,SHMAAS终点ETA近站估算，约±5分钟,5,06:01,21:11,SHMAAS,,,,,18:40,计划发车,A,终点ETA确认/一致估算,是,8,8,73.9,3/14
182路,,沪A67353D,1,金杨路金口路,18:45,川沙客运站,全程车,已取得可靠同向线路终点ETA，按全程车保护,20:02,77分钟,,,SHMAAS终点近站ETA直接确认，约±2分钟,2,06:01,20:01,SHMAAS,,,,,18:45,计划发车,A,终点ETA确认/一致估算,是,7,7,78.0,8/14
182路,,沪A08953A,1,金杨路金口路,19:00,川沙客运站,全程车,已取得可靠同向线路终点ETA，按全程车保护,20:20,80分钟,,,SHMAAS多次终点ETA一致估算，约±3分钟,3,07:51,20:11,SHMAAS,,,,,19:00,计划发车,A,终点ETA确认/一致估算,是,6,6,73.3,1/14
182路,,沪A55712D,0,川沙客运站,19:05,金杨路金口路,全程车,已取得可靠同向线路终点ETA，按全程车保护,20:18,73分钟,,,SHMAAS多次终点ETA一致估算，约±3分钟,3,06:41,21:22,SHMAAS,,,,,19:05,计划发车,A,终点ETA确认/一致估算,是,8,8,74.0,4/14
